col_name,col_type,label,indicator_grouping,indicator_unit,filter_hint,filter_grouping_column
num_schools,Indicator,Number of schools,Absence fields,,,
enrolments,Indicator,Number of pupil enrolments,Absence fields,,,
sess_possible,Indicator,Number of sessions possible,Absence fields,,,
sess_overall,Indicator,Number of overall absence sessions,Absence fields,,,
sess_authorised,Indicator,Number of authorised absence sessions,Absence fields,,,
sess_unauthorised,Indicator,Number of unauthorised absence sessions,Absence fields,,,
sess_overall_percent,Indicator,Overall absence rate,Absence fields,%,,
sess_authorised_percent,Indicator,Authorised absence rate,Absence fields,%,,
sess_unauthorised_percent,Indicator,Unauthorised absence rate,Absence fields,%,,
enrolments_pa10_exact,Indicator,Number of persistent absentees,Absence fields,,,
enrolments_pa10_exact_percent,Indicator,Percentage of persistent absentees,Absence fields,%,,
sess_auth_illness,Indicator,Number of illness sessions,Absence by reason,,,
sess_auth_appointments,Indicator,Number of medical appointments sessions,Absence by reason,,,
sess_auth_religious,Indicator,Number of religious observance sessions,Absence by reason,,,
sess_auth_study,Indicator,Number of study leave sessions,Absence by reason,,,
sess_auth_traveller,Indicator,Number of traveller sessions,Absence by reason,,,
sess_auth_holiday,Indicator,Number of authorised holiday sessions,Absence by reason,,,
sess_auth_ext_holiday,Indicator,Number of extended authorised holiday sessions,Absence by reason,,,
sess_auth_excluded,Indicator,Number of excluded sessions,Absence by reason,,,
sess_auth_other,Indicator,Number of authorised other sessions,Absence by reason,,,
sess_auth_totalreasons,Indicator,Number of authorised reasons sessions,Absence by reason,,,
sess_unauth_holiday,Indicator,Number of unauthorised holiday sessions,Absence by reason,,,
sess_unauth_late,Indicator,Number of late sessions,Absence by reason,,,
sess_unauth_other,Indicator,Number of unauthorised other sessions,Absence by reason,,,
sess_unauth_noyet,Indicator,Number of no reason yet sessions,Absence by reason,,,
sess_unauth_totalreasons,Indicator,Number of unauthorised reasons sessions,Absence by reason,,,
sess_overall_totalreasons,Indicator,Number of overall reasons sessions,Absence by reason,,,
school_type,Filter,School type,,,Filter by school type,
